# file: allele_oid.txt
# date: 2022-12-12
# version: IPD-KIR 2.12.0
# origin: https://github.com/ANHIG/IPDKIR/allele_oid.txt
# repository: https://raw.githubusercontent.com/ANHIG/IPDKIR/Latest/allele_oid.txt
# author: Steven G. E. Marsh (steven.marsh@ucl.ac.uk)
Allele,OID
KIR2DL5A*0050104,2.16.840.1.113883.13.252.2.1.440
KIR2DL5A*0050105,2.16.840.1.113883.13.252.2.1.1209
KIR2DL5A*01201,2.16.840.1.113883.13.252.2.1.391
KIR2DL5A*01202,2.16.840.1.113883.13.252.2.1.389
KIR2DL5A*014,2.16.840.1.113883.13.252.2.1.536
KIR2DL5A*015,2.16.840.1.113883.13.252.2.1.537
KIR2DL5A*0210101,2.16.840.1.113883.13.252.2.1.882
KIR2DL5A*0210102,2.16.840.1.113883.13.252.2.1.1221
KIR2DL5A*0210103,2.16.840.1.113883.13.252.2.1.1222
KIR2DL5A*022,2.16.840.1.113883.13.252.2.1.907
KIR2DL5A*0230101,2.16.840.1.113883.13.252.2.1.992
KIR2DL5A*0230102,2.16.840.1.113883.13.252.2.1.1199
KIR2DL5A*024,2.16.840.1.113883.13.252.2.1.993
KIR2DL5A*025,2.16.840.1.113883.13.252.2.1.1191
KIR2DL5A*026,2.16.840.1.113883.13.252.2.1.1194
KIR2DL5A*027,2.16.840.1.113883.13.252.2.1.1195
KIR2DL5A*028,2.16.840.1.113883.13.252.2.1.1202
KIR2DL5A*029,2.16.840.1.113883.13.252.2.1.1210
KIR2DL5A*030,2.16.840.1.113883.13.252.2.1.1213
KIR2DL5A*031,2.16.840.1.113883.13.252.2.1.1220
KIR2DL5A*032N,2.16.840.1.113883.13.252.2.1.1223
KIR2DL5A*0330101,2.16.840.1.113883.13.252.2.1.1200
KIR2DL5A*0330102,2.16.840.1.113883.13.252.2.1.1212
KIR2DL5A*0340101,2.16.840.1.113883.13.252.2.1.1215
KIR2DL5A*0340102,2.16.840.1.113883.13.252.2.1.1216
KIR2DL5A*040,2.16.840.1.113883.13.252.2.1.1588
KIR2DL5A*042,2.16.840.1.113883.13.252.2.1.1687
KIR2DL5B*0020101,2.16.840.1.113883.13.252.2.1.30
KIR2DL5B*0020102,2.16.840.1.113883.13.252.2.1.248
KIR2DL5B*0020103,2.16.840.1.113883.13.252.2.1.301
KIR2DL5B*0020104,2.16.840.1.113883.13.252.2.1.394
KIR2DL5B*0020106,2.16.840.1.113883.13.252.2.1.524
KIR2DL5B*0020107,2.16.840.1.113883.13.252.2.1.632
KIR2DL5B*0020108,2.16.840.1.113883.13.252.2.1.1095
KIR2DL5B*0020109,2.16.840.1.113883.13.252.2.1.1197
KIR2DL5B*0020110,2.16.840.1.113883.13.252.2.1.1198
KIR2DL5B*0020111,2.16.840.1.113883.13.252.2.1.1204
KIR2DL5B*0020201,2.16.840.1.113883.13.252.2.1.535
KIR2DL5B*0020202,2.16.840.1.113883.13.252.2.1.972
KIR2DL5B*00203,2.16.840.1.113883.13.252.2.1.802
KIR2DL5B*00204,2.16.840.1.113883.13.252.2.1.994
KIR2DL5B*00205,2.16.840.1.113883.13.252.2.1.1193
KIR2DL5B*003,2.16.840.1.113883.13.252.2.1.31
KIR2DL5B*004,2.16.840.1.113883.13.252.2.1.32
KIR2DL5B*00601,2.16.840.1.113883.13.252.2.1.125
KIR2DL5B*00602,2.16.840.1.113883.13.252.2.1.267
KIR2DL5B*00603,2.16.840.1.113883.13.252.2.1.393
KIR2DL5B*0070101,2.16.840.1.113883.13.252.2.1.126
KIR2DL5B*0070102,2.16.840.1.113883.13.252.2.1.525
KIR2DL5B*0080101,2.16.840.1.113883.13.252.2.1.244
KIR2DL5B*0080102,2.16.840.1.113883.13.252.2.1.395
KIR2DL5B*00802,2.16.840.1.113883.13.252.2.1.266
KIR2DL5B*00803,2.16.840.1.113883.13.252.2.1.682
KIR2DL5B*00804,2.16.840.1.113883.13.252.2.1.805
KIR2DL5B*00805,2.16.840.1.113883.13.252.2.1.946
KIR2DL5B*009,2.16.840.1.113883.13.252.2.1.245
KIR2DL5B*010,2.16.840.1.113883.13.252.2.1.264
KIR2DL5B*011,2.16.840.1.113883.13.252.2.1.265
KIR2DL5B*01301,2.16.840.1.113883.13.252.2.1.390
KIR2DL5B*01302,2.16.840.1.113883.13.252.2.1.392
KIR2DL5B*01303,2.16.840.1.113883.13.252.2.1.534
KIR2DL5B*01304,2.16.840.1.113883.13.252.2.1.801
KIR2DL5B*016,2.16.840.1.113883.13.252.2.1.538
KIR2DL5B*017,2.16.840.1.113883.13.252.2.1.664
KIR2DL5B*018,2.16.840.1.113883.13.252.2.1.684
KIR2DL5B*019,2.16.840.1.113883.13.252.2.1.803
KIR2DL5B*020,2.16.840.1.113883.13.252.2.1.804
KIR2DL5B*035,2.16.840.1.113883.13.252.2.1.1205
KIR2DL5B*036,2.16.840.1.113883.13.252.2.1.1206
KIR2DL5B*037,2.16.840.1.113883.13.252.2.1.1208
KIR2DL5B*038,2.16.840.1.113883.13.252.2.1.1190
KIR2DL5B*0390101,2.16.840.1.113883.13.252.2.1.1207
KIR2DL5B*0390102,2.16.840.1.113883.13.252.2.1.1203
KIR2DL5B*041,2.16.840.1.113883.13.252.2.1.1596
KIR2DP1*00101,2.16.840.1.113883.13.252.2.1.52
KIR2DP1*0010201,2.16.840.1.113883.13.252.2.1.127
KIR2DP1*0010202,2.16.840.1.113883.13.252.2.1.649
KIR2DP1*0010203,2.16.840.1.113883.13.252.2.1.634
KIR2DP1*00103,2.16.840.1.113883.13.252.2.1.694
KIR2DP1*0020101,2.16.840.1.113883.13.252.2.1.53
KIR2DP1*0020102,2.16.840.1.113883.13.252.2.1.293
KIR2DP1*0020103,2.16.840.1.113883.13.252.2.1.442
KIR2DP1*0020104,2.16.840.1.113883.13.252.2.1.443
KIR2DP1*0020105,2.16.840.1.113883.13.252.2.1.444
KIR2DP1*0020106,2.16.840.1.113883.13.252.2.1.445
KIR2DP1*0020107,2.16.840.1.113883.13.252.2.1.621
KIR2DP1*0020108,2.16.840.1.113883.13.252.2.1.633
KIR2DP1*0020109,2.16.840.1.113883.13.252.2.1.625
KIR2DP1*0020110,2.16.840.1.113883.13.252.2.1.474
KIR2DP1*00202,2.16.840.1.113883.13.252.2.1.690
KIR2DP1*00203,2.16.840.1.113883.13.252.2.1.880
KIR2DP1*00204,2.16.840.1.113883.13.252.2.1.892
KIR2DP1*0030101,2.16.840.1.113883.13.252.2.1.242
KIR2DP1*0030102,2.16.840.1.113883.13.252.2.1.648
KIR2DP1*004,2.16.840.1.113883.13.252.2.1.473
KIR2DP1*006,2.16.840.1.113883.13.252.2.1.475
KIR2DP1*007,2.16.840.1.113883.13.252.2.1.476
KIR2DP1*008,2.16.840.1.113883.13.252.2.1.477
KIR2DP1*009,2.16.840.1.113883.13.252.2.1.478
KIR2DP1*010,2.16.840.1.113883.13.252.2.1.622
KIR2DP1*011,2.16.840.1.113883.13.252.2.1.692
KIR2DP1*012,2.16.840.1.113883.13.252.2.1.686
KIR2DP1*013,2.16.840.1.113883.13.252.2.1.688
KIR2DP1*014,2.16.840.1.113883.13.252.2.1.685
KIR2DP1*015,2.16.840.1.113883.13.252.2.1.861
KIR2DP1*016,2.16.840.1.113883.13.252.2.1.881
KIR2DP1*017,2.16.840.1.113883.13.252.2.1.884
KIR2DP1*018,2.16.840.1.113883.13.252.2.1.886
KIR2DP1*019,2.16.840.1.113883.13.252.2.1.894
KIR2DP1*020,2.16.840.1.113883.13.252.2.1.949
KIR2DP1*021,2.16.840.1.113883.13.252.2.1.950
KIR2DP1*022,2.16.840.1.113883.13.252.2.1.951
KIR2DP1*023,2.16.840.1.113883.13.252.2.1.952
KIR2DP1*024,2.16.840.1.113883.13.252.2.1.953
KIR2DS1*001,2.16.840.1.113883.13.252.2.1.33
KIR2DS1*0020101,2.16.840.1.113883.13.252.2.1.34
KIR2DS1*0020102,2.16.840.1.113883.13.252.2.1.298
KIR2DS1*0020103,2.16.840.1.113883.13.252.2.1.296
KIR2DS1*0020104,2.16.840.1.113883.13.252.2.1.426
KIR2DS1*0020105,2.16.840.1.113883.13.252.2.1.427
KIR2DS1*0020106,2.16.840.1.113883.13.252.2.1.428
KIR2DS1*0020107,2.16.840.1.113883.13.252.2.1.1251
KIR2DS1*0020108,2.16.840.1.113883.13.252.2.1.1252
KIR2DS1*0020109,2.16.840.1.113883.13.252.2.1.1253
KIR2DS1*0020110,2.16.840.1.113883.13.252.2.1.1254
KIR2DS1*0020111,2.16.840.1.113883.13.252.2.1.1255
KIR2DS1*0020112,2.16.840.1.113883.13.252.2.1.1256
KIR2DS1*0020113,2.16.840.1.113883.13.252.2.1.1257
KIR2DS1*0020114,2.16.840.1.113883.13.252.2.1.1258
KIR2DS1*0020115,2.16.840.1.113883.13.252.2.1.1259
KIR2DS1*0020116,2.16.840.1.113883.13.252.2.1.1260
KIR2DS1*0020117,2.16.840.1.113883.13.252.2.1.1261
KIR2DS1*0020118,2.16.840.1.113883.13.252.2.1.1262
KIR2DS1*00202,2.16.840.1.113883.13.252.2.1.255
KIR2DS1*00301,2.16.840.1.113883.13.252.2.1.35
KIR2DS1*00302,2.16.840.1.113883.13.252.2.1.254
KIR2DS1*004,2.16.840.1.113883.13.252.2.1.36
KIR2DS1*00501,2.16.840.1.113883.13.252.2.1.252
KIR2DS1*00502,2.16.840.1.113883.13.252.2.1.256
KIR2DS1*006,2.16.840.1.113883.13.252.2.1.253
KIR2DS1*008,2.16.840.1.113883.13.252.2.1.271
KIR2DS1*009,2.16.840.1.113883.13.252.2.1.797
KIR2DS1*010,2.16.840.1.113883.13.252.2.1.1572
KIR2DS1*011,2.16.840.1.113883.13.252.2.1.1573
KIR2DS1*0120101,2.16.840.1.113883.13.252.2.1.1574
KIR2DS1*0120102,2.16.840.1.113883.13.252.2.1.1575
KIR2DS1*013,2.16.840.1.113883.13.252.2.1.1576
KIR2DS2*0010101,2.16.840.1.113883.13.252.2.1.37
KIR2DS2*0010102,2.16.840.1.113883.13.252.2.1.302
KIR2DS2*0010103,2.16.840.1.113883.13.252.2.1.270
KIR2DS2*0010104,2.16.840.1.113883.13.252.2.1.336
KIR2DS2*0010105,2.16.840.1.113883.13.252.2.1.446
KIR2DS2*0010106,2.16.840.1.113883.13.252.2.1.447
KIR2DS2*0010107,2.16.840.1.113883.13.252.2.1.448
KIR2DS2*0010108,2.16.840.1.113883.13.252.2.1.449
KIR2DS2*0010109,2.16.840.1.113883.13.252.2.1.450
KIR2DS2*0010110,2.16.840.1.113883.13.252.2.1.451
KIR2DS2*0010111,2.16.840.1.113883.13.252.2.1.623
KIR2DS2*0010112,2.16.840.1.113883.13.252.2.1.635
KIR2DS2*0010113,2.16.840.1.113883.13.252.2.1.1266
KIR2DS2*0010114,2.16.840.1.113883.13.252.2.1.1270
KIR2DS2*0010115,2.16.840.1.113883.13.252.2.1.1272
KIR2DS2*0010116,2.16.840.1.113883.13.252.2.1.1273
KIR2DS2*0010117,2.16.840.1.113883.13.252.2.1.1274
KIR2DS2*0010118,2.16.840.1.113883.13.252.2.1.1275
KIR2DS2*0010119,2.16.840.1.113883.13.252.2.1.1276
KIR2DS2*0010120,2.16.840.1.113883.13.252.2.1.1277
KIR2DS2*0010121,2.16.840.1.113883.13.252.2.1.1278
KIR2DS2*0010122,2.16.840.1.113883.13.252.2.1.1280
KIR2DS2*0010123,2.16.840.1.113883.13.252.2.1.1282
KIR2DS2*0010124,2.16.840.1.113883.13.252.2.1.1285
KIR2DS2*0010125,2.16.840.1.113883.13.252.2.1.1286
KIR2DS2*0010126,2.16.840.1.113883.13.252.2.1.1288
KIR2DS2*0010127,2.16.840.1.113883.13.252.2.1.1292
KIR2DS2*0010128,2.16.840.1.113883.13.252.2.1.1293
KIR2DS2*0010129,2.16.840.1.113883.13.252.2.1.1294
KIR2DS2*0010130,2.16.840.1.113883.13.252.2.1.1303
KIR2DS2*00102,2.16.840.1.113883.13.252.2.1.97
KIR2DS2*00103,2.16.840.1.113883.13.252.2.1.98
KIR2DS2*00104,2.16.840.1.113883.13.252.2.1.211
KIR2DS2*00105,2.16.840.1.113883.13.252.2.1.973
KIR2DS2*00106,2.16.840.1.113883.13.252.2.1.1263
KIR2DS2*0010701,2.16.840.1.113883.13.252.2.1.1291
KIR2DS2*0010702,2.16.840.1.113883.13.252.2.1.1287
KIR2DS2*002,2.16.840.1.113883.13.252.2.1.38
KIR2DS2*003,2.16.840.1.113883.13.252.2.1.39
KIR2DS2*004,2.16.840.1.113883.13.252.2.1.40
KIR2DS2*005,2.16.840.1.113883.13.252.2.1.41
KIR2DS2*00601,2.16.840.1.113883.13.252.2.1.337
KIR2DS2*00602,2.16.840.1.113883.13.252.2.1.1283
KIR2DS2*007,2.16.840.1.113883.13.252.2.1.530
KIR2DS2*008,2.16.840.1.113883.13.252.2.1.531
KIR2DS2*0090101,2.16.840.1.113883.13.252.2.1.906
KIR2DS2*0090102,2.16.840.1.113883.13.252.2.1.1297
KIR2DS2*010,2.16.840.1.113883.13.252.2.1.1264
KIR2DS2*011,2.16.840.1.113883.13.252.2.1.1265
KIR2DS2*012,2.16.840.1.113883.13.252.2.1.1268
KIR2DS2*013,2.16.840.1.113883.13.252.2.1.1271
KIR2DS2*014,2.16.840.1.113883.13.252.2.1.1279
KIR2DS2*015,2.16.840.1.113883.13.252.2.1.1281
KIR2DS2*016,2.16.840.1.113883.13.252.2.1.1284
KIR2DS2*017,2.16.840.1.113883.13.252.2.1.1289
KIR2DS2*018,2.16.840.1.113883.13.252.2.1.1298
KIR2DS2*019,2.16.840.1.113883.13.252.2.1.1301
KIR2DS2*0200101,2.16.840.1.113883.13.252.2.1.1267
KIR2DS2*0200102,2.16.840.1.113883.13.252.2.1.1299
KIR2DS2*0200103,2.16.840.1.113883.13.252.2.1.1300
KIR2DS2*0200104,2.16.840.1.113883.13.252.2.1.1302
KIR2DS2*0210101,2.16.840.1.113883.13.252.2.1.1269
KIR2DS2*0210102,2.16.840.1.113883.13.252.2.1.1290
KIR2DS2*0210103,2.16.840.1.113883.13.252.2.1.1295
KIR2DS2*022,2.16.840.1.113883.13.252.2.1.1609
KIR2DS3*00101,2.16.840.1.113883.13.252.2.1.42
KIR2DS3*00102,2.16.840.1.113883.13.252.2.1.43
KIR2DS3*0010301,2.16.840.1.113883.13.252.2.1.44
KIR2DS3*0010302,2.16.840.1.113883.13.252.2.1.636
KIR2DS3*0010303,2.16.840.1.113883.13.252.2.1.1310
KIR2DS3*0010304,2.16.840.1.113883.13.252.2.1.1311
KIR2DS3*0010305,2.16.840.1.113883.13.252.2.1.1243
KIR2DS3*0010306,2.16.840.1.113883.13.252.2.1.1315
KIR2DS3*0010307,2.16.840.1.113883.13.252.2.1.1316
KIR2DS3*0010308,2.16.840.1.113883.13.252.2.1.1318
KIR2DS3*0010309,2.16.840.1.113883.13.252.2.1.1322
KIR2DS3*0010310,2.16.840.1.113883.13.252.2.1.1323
KIR2DS3*0010311,2.16.840.1.113883.13.252.2.1.1325
KIR2DS3*0010312,2.16.840.1.113883.13.252.2.1.1326
KIR2DS3*0010313,2.16.840.1.113883.13.252.2.1.1231
KIR2DS3*0010314,2.16.840.1.113883.13.252.2.1.1234
KIR2DS3*0010315,2.16.840.1.113883.13.252.2.1.1235
KIR2DS3*0010316,2.16.840.1.113883.13.252.2.1.1236
KIR2DS3*0010317,2.16.840.1.113883.13.252.2.1.1238
KIR2DS3*0010318,2.16.840.1.113883.13.252.2.1.1241
KIR2DS3*0010319,2.16.840.1.113883.13.252.2.1.1242
KIR2DS3*0010320,2.16.840.1.113883.13.252.2.1.1244
KIR2DS3*0010321,2.16.840.1.113883.13.252.2.1.1245
KIR2DS3*00104,2.16.840.1.113883.13.252.2.1.272
KIR2DS3*00105,2.16.840.1.113883.13.252.2.1.321
KIR2DS3*00106,2.16.840.1.113883.13.252.2.1.322
KIR2DS3*00107,2.16.840.1.113883.13.252.2.1.1320
KIR2DS3*00108,2.16.840.1.113883.13.252.2.1.1321
KIR2DS3*00109,2.16.840.1.113883.13.252.2.1.1226
KIR2DS3*00110,2.16.840.1.113883.13.252.2.1.1232
KIR2DS3*00111,2.16.840.1.113883.13.252.2.1.1239
KIR2DS3*0011201,2.16.840.1.113883.13.252.2.1.1250
KIR2DS3*0011202,2.16.840.1.113883.13.252.2.1.1229
KIR2DS3*0011301,2.16.840.1.113883.13.252.2.1.1319
KIR2DS3*0011302,2.16.840.1.113883.13.252.2.1.1237
KIR2DS3*0020101,2.16.840.1.113883.13.252.2.1.131
KIR2DS3*0020102,2.16.840.1.113883.13.252.2.1.429
KIR2DS3*0020103,2.16.840.1.113883.13.252.2.1.652
KIR2DS3*0020104,2.16.840.1.113883.13.252.2.1.1304
KIR2DS3*0020105,2.16.840.1.113883.13.252.2.1.1305
KIR2DS3*0020106,2.16.840.1.113883.13.252.2.1.1307
KIR2DS3*0020107,2.16.840.1.113883.13.252.2.1.1308
KIR2DS3*0020108,2.16.840.1.113883.13.252.2.1.1312
KIR2DS3*0020109,2.16.840.1.113883.13.252.2.1.1313
KIR2DS3*00202,2.16.840.1.113883.13.252.2.1.1309
KIR2DS3*0030101N,2.16.840.1.113883.13.252.2.1.232
KIR2DS3*0030102N,2.16.840.1.113883.13.252.2.1.1577
KIR2DS3*004,2.16.840.1.113883.13.252.2.1.273
KIR2DS3*005,2.16.840.1.113883.13.252.2.1.529
KIR2DS3*006,2.16.840.1.113883.13.252.2.1.663
KIR2DS3*007,2.16.840.1.113883.13.252.2.1.699
KIR2DS3*008,2.16.840.1.113883.13.252.2.1.885
KIR2DS3*009,2.16.840.1.113883.13.252.2.1.1227
KIR2DS3*010,2.16.840.1.113883.13.252.2.1.1314
KIR2DS3*011,2.16.840.1.113883.13.252.2.1.1317
KIR2DS3*012,2.16.840.1.113883.13.252.2.1.1324
KIR2DS3*013,2.16.840.1.113883.13.252.2.1.1327
KIR2DS3*014,2.16.840.1.113883.13.252.2.1.1328
KIR2DS3*015,2.16.840.1.113883.13.252.2.1.1224
KIR2DS3*016,2.16.840.1.113883.13.252.2.1.1225
KIR2DS3*017,2.16.840.1.113883.13.252.2.1.1228
KIR2DS3*018,2.16.840.1.113883.13.252.2.1.1230
KIR2DS3*019,2.16.840.1.113883.13.252.2.1.1233
KIR2DS3*020,2.16.840.1.113883.13.252.2.1.1246
KIR2DS3*0210101,2.16.840.1.113883.13.252.2.1.1240
KIR2DS3*0210102,2.16.840.1.113883.13.252.2.1.1306
KIR2DS3*0220101,2.16.840.1.113883.13.252.2.1.1248
KIR2DS3*0220102,2.16.840.1.113883.13.252.2.1.1247
KIR2DS3*0220103,2.16.840.1.113883.13.252.2.1.1249
KIR2DS3*023,2.16.840.1.113883.13.252.2.1.1579
KIR2DS3*024,2.16.840.1.113883.13.252.2.1.1580
KIR2DS4*0010101,2.16.840.1.113883.13.252.2.1.45
KIR2DS4*0010102,2.16.840.1.113883.13.252.2.1.92
KIR2DS4*0010103,2.16.840.1.113883.13.252.2.1.99
KIR2DS4*0010104,2.16.840.1.113883.13.252.2.1.452
KIR2DS4*0010105,2.16.840.1.113883.13.252.2.1.453
KIR2DS4*0010106,2.16.840.1.113883.13.252.2.1.496
KIR2DS4*0010107,2.16.840.1.113883.13.252.2.1.499
KIR2DS4*0010108,2.16.840.1.113883.13.252.2.1.498
KIR2DS4*0010109,2.16.840.1.113883.13.252.2.1.497
KIR2DS4*00102,2.16.840.1.113883.13.252.2.1.46
KIR2DS4*00103,2.16.840.1.113883.13.252.2.1.274
KIR2DS4*00104,2.16.840.1.113883.13.252.2.1.327
KIR2DS4*00105,2.16.840.1.113883.13.252.2.1.820
KIR2DS4*00106,2.16.840.1.113883.13.252.2.1.947
KIR2DS4*0030101,2.16.840.1.113883.13.252.2.1.48
KIR2DS4*0030102,2.16.840.1.113883.13.252.2.1.318
KIR2DS4*0030103,2.16.840.1.113883.13.252.2.1.430
KIR2DS4*0030104,2.16.840.1.113883.13.252.2.1.431
KIR2DS4*0040101,2.16.840.1.113883.13.252.2.1.89
KIR2DS4*0040102,2.16.840.1.113883.13.252.2.1.637
KIR2DS4*0060101,2.16.840.1.113883.13.252.2.1.90
KIR2DS4*0060102,2.16.840.1.113883.13.252.2.1.651
KIR2DS4*007,2.16.840.1.113883.13.252.2.1.132
KIR2DS4*008,2.16.840.1.113883.13.252.2.1.258
KIR2DS4*009,2.16.840.1.113883.13.252.2.1.275
KIR2DS4*010,2.16.840.1.113883.13.252.2.1.315
KIR2DS4*01101,2.16.840.1.113883.13.252.2.1.320
KIR2DS4*01102,2.16.840.1.113883.13.252.2.1.341
KIR2DS4*012,2.16.840.1.113883.13.252.2.1.323
KIR2DS4*013,2.16.840.1.113883.13.252.2.1.338
KIR2DS4*014,2.16.840.1.113883.13.252.2.1.340
KIR2DS4*015,2.16.840.1.113883.13.252.2.1.342
KIR2DS4*016,2.16.840.1.113883.13.252.2.1.731
KIR2DS4*017,2.16.840.1.113883.13.252.2.1.819
KIR2DS4*018,2.16.840.1.113883.13.252.2.1.821
KIR2DS4*019,2.16.840.1.113883.13.252.2.1.995
KIR2DS4*020,2.16.840.1.113883.13.252.2.1.996
KIR2DS4*021,2.16.840.1.113883.13.252.2.1.1583
KIR2DS4*022,2.16.840.1.113883.13.252.2.1.1581
KIR2DS4*023,2.16.840.1.113883.13.252.2.1.1686
KIR2DS4*024,2.16.840.1.113883.13.252.2.1.1688
KIR2DS5*001,2.16.840.1.113883.13.252.2.1.49
KIR2DS5*0020101,2.16.840.1.113883.13.252.2.1.50
KIR2DS5*0020102,2.16.840.1.113883.13.252.2.1.299
KIR2DS5*0020103,2.16.840.1.113883.13.252.2.1.297
KIR2DS5*0020104,2.16.840.1.113883.13.252.2.1.433
KIR2DS5*0020105,2.16.840.1.113883.13.252.2.1.1467
KIR2DS5*0020106,2.16.840.1.113883.13.252.2.1.1468
KIR2DS5*0020107,2.16.840.1.113883.13.252.2.1.1470
KIR2DS5*0020108,2.16.840.1.113883.13.252.2.1.1472
KIR2DS5*0020109,2.16.840.1.113883.13.252.2.1.1473
KIR2DS5*0020110,2.16.840.1.113883.13.252.2.1.1475
KIR2DS5*0020111,2.16.840.1.113883.13.252.2.1.1476
KIR2DS5*0020112,2.16.840.1.113883.13.252.2.1.1479
KIR2DS5*0020113,2.16.840.1.113883.13.252.2.1.1482
KIR2DS5*0020114,2.16.840.1.113883.13.252.2.1.1484
KIR2DS5*0020115,2.16.840.1.113883.13.252.2.1.1488
KIR2DS5*0020116,2.16.840.1.113883.13.252.2.1.1490
KIR2DS5*0020117,2.16.840.1.113883.13.252.2.1.1491
KIR2DS5*0020118,2.16.840.1.113883.13.252.2.1.1493
KIR2DS5*0020119,2.16.840.1.113883.13.252.2.1.1498
KIR2DS5*0020120,2.16.840.1.113883.13.252.2.1.1500
KIR2DS5*0020121,2.16.840.1.113883.13.252.2.1.1502
KIR2DS5*0020122,2.16.840.1.113883.13.252.2.1.1505
KIR2DS5*0020123,2.16.840.1.113883.13.252.2.1.1507
KIR2DS5*0020124,2.16.840.1.113883.13.252.2.1.1508
KIR2DS5*0020125,2.16.840.1.113883.13.252.2.1.1509
KIR2DS5*0020126,2.16.840.1.113883.13.252.2.1.1511
KIR2DS5*0020127,2.16.840.1.113883.13.252.2.1.1512
KIR2DS5*0020128,2.16.840.1.113883.13.252.2.1.1514
KIR2DS5*0020129,2.16.840.1.113883.13.252.2.1.1515
KIR2DS5*0020130,2.16.840.1.113883.13.252.2.1.1523
KIR2DS5*0020131,2.16.840.1.113883.13.252.2.1.1524
KIR2DS5*0020132,2.16.840.1.113883.13.252.2.1.1525
KIR2DS5*0020133,2.16.840.1.113883.13.252.2.1.1529
KIR2DS5*00202,2.16.840.1.113883.13.252.2.1.532
KIR2DS5*00203,2.16.840.1.113883.13.252.2.1.1477
KIR2DS5*00204,2.16.840.1.113883.13.252.2.1.1481
KIR2DS5*0020501,2.16.840.1.113883.13.252.2.1.1495
KIR2DS5*0020502,2.16.840.1.113883.13.252.2.1.1520
KIR2DS5*0020503,2.16.840.1.113883.13.252.2.1.1492
KIR2DS5*00206,2.16.840.1.113883.13.252.2.1.1499
KIR2DS5*0020701,2.16.840.1.113883.13.252.2.1.1504
KIR2DS5*0020702,2.16.840.1.113883.13.252.2.1.1517
KIR2DS5*003,2.16.840.1.113883.13.252.2.1.51
KIR2DS5*004,2.16.840.1.113883.13.252.2.1.100
KIR2DS5*00501,2.16.840.1.113883.13.252.2.1.101
KIR2DS5*00502,2.16.840.1.113883.13.252.2.1.706
KIR2DS5*0060101,2.16.840.1.113883.13.252.2.1.276
KIR2DS5*0060102,2.16.840.1.113883.13.252.2.1.1503
KIR2DS5*0070101,2.16.840.1.113883.13.252.2.1.277
KIR2DS5*0070102,2.16.840.1.113883.13.252.2.1.1478
KIR2DS5*00801,2.16.840.1.113883.13.252.2.1.278
KIR2DS5*00802,2.16.840.1.113883.13.252.2.1.339
KIR2DS5*009,2.16.840.1.113883.13.252.2.1.319
KIR2DS5*010,2.16.840.1.113883.13.252.2.1.432
KIR2DS5*011,2.16.840.1.113883.13.252.2.1.665
KIR2DS5*01201,2.16.840.1.113883.13.252.2.1.680
KIR2DS5*01202,2.16.840.1.113883.13.252.2.1.970
KIR2DS5*013,2.16.840.1.113883.13.252.2.1.822
KIR2DS5*014,2.16.840.1.113883.13.252.2.1.824
KIR2DS5*015,2.16.840.1.113883.13.252.2.1.878
KIR2DS5*016,2.16.840.1.113883.13.252.2.1.893
KIR2DS5*017,2.16.840.1.113883.13.252.2.1.948
KIR2DS5*018,2.16.840.1.113883.13.252.2.1.1469
KIR2DS5*019,2.16.840.1.113883.13.252.2.1.1471
KIR2DS5*020,2.16.840.1.113883.13.252.2.1.1474
KIR2DS5*0210101,2.16.840.1.113883.13.252.2.1.1480
KIR2DS5*0210102,2.16.840.1.113883.13.252.2.1.1494
KIR2DS5*022,2.16.840.1.113883.13.252.2.1.1483
KIR2DS5*0230101,2.16.840.1.113883.13.252.2.1.1486
KIR2DS5*0230102,2.16.840.1.113883.13.252.2.1.1519
KIR2DS5*024,2.16.840.1.113883.13.252.2.1.1487
KIR2DS5*0250101,2.16.840.1.113883.13.252.2.1.1526
KIR2DS5*0250102,2.16.840.1.113883.13.252.2.1.1489
KIR2DS5*026,2.16.840.1.113883.13.252.2.1.1497
KIR2DS5*0270101,2.16.840.1.113883.13.252.2.1.1496
KIR2DS5*0270102,2.16.840.1.113883.13.252.2.1.1528
KIR2DS5*028,2.16.840.1.113883.13.252.2.1.1501
KIR2DS5*029,2.16.840.1.113883.13.252.2.1.1506
KIR2DS5*030,2.16.840.1.113883.13.252.2.1.1510
KIR2DS5*031,2.16.840.1.113883.13.252.2.1.1513
KIR2DS5*032,2.16.840.1.113883.13.252.2.1.1516
KIR2DS5*033,2.16.840.1.113883.13.252.2.1.1518
KIR2DS5*034,2.16.840.1.113883.13.252.2.1.1521
KIR2DS5*035,2.16.840.1.113883.13.252.2.1.1522
KIR2DS5*036,2.16.840.1.113883.13.252.2.1.1527
KIR2DS5*037,2.16.840.1.113883.13.252.2.1.1530
KIR2DS5*038,2.16.840.1.113883.13.252.2.1.1584
KIR3DL1*0010101,2.16.840.1.113883.13.252.2.1.54
KIR3DL1*0010102,2.16.840.1.113883.13.252.2.1.434
KIR3DL1*0010103,2.16.840.1.113883.13.252.2.1.761
KIR3DL1*0010104,2.16.840.1.113883.13.252.2.1.964
KIR3DL1*0010105,2.16.840.1.113883.13.252.2.1.965
KIR3DL1*0010106,2.16.840.1.113883.13.252.2.1.1078
KIR3DL1*0010107,2.16.840.1.113883.13.252.2.1.1100
KIR3DL1*0010108,2.16.840.1.113883.13.252.2.1.1105
